,,,,,,,,,,,,,,,,
Status,Submittal ID,Subject,From Company,Expected,Received,Days Late Received,Due Date,Days Late Responding,Responded,Final Response,Last Action Action,Prepared On,Closed,Days +/-,row height,Days +/- responding
,01 56 39-003-02,01 56 39-003-02 Arborist Photo Doc & Appraisal,Mortenson Construction,,4/23/2019,,5/13/2019,,5/9/2019,Approved as Noted,Approved as Noted,10/11/2021,5/9/2019,31127,R,-15
,01 56 39-004-00,01 56 39-004-00 Compliance Report - 03182019,Mortenson Construction,,3/18/2019,,4/2/2019,,3/22/2019,No Action Taken or Required,No Action Taken or Required,10/11/2021,3/22/2019,31101,R,-12
,01 56 39-005-00,01 56 39-005-00 Temporary Tree Protection Labels,Mortenson Construction,,3/20/2019,,4/3/2019,,3/20/2019,Approved as Noted,Approved as Noted,10/11/2021,3/20/2019,31103,R,-11
,01 56 39-006-00,01 56 39-006-00 Arborist Compliance Report - 03292019,Mortenson Construction,,4/1/2019,,4/15/2019,,4/15/2019,Approved as Noted,Approved as Noted,10/11/2021,4/15/2019,31111,R,-11
,01 56 39-007-00,01 56 39-007-0 Arborist Compliance Report - 04122019,Mortenson Construction,,4/15/2019,,4/29/2019,,4/15/2019,Approved as Noted,Approved as Noted,10/11/2021,4/15/2019,31121,R,-11
,01 56 39-008-00,01 56 39-008-00 Arborist Compliance Report - 04262019,Mortenson Construction,,4/29/2019,,5/13/2019,,5/10/2019,Approved as Noted,Approved as Noted,10/11/2021,5/10/2019,31131,R,-11
,01 56 39-009-00,01 56 39-009-00 Arborist Comp Report - 05102019,Mortenson Construction,,5/14/2019,,5/28/2019,,5/29/2019,Approved as Noted,Approved as Noted,10/11/2021,5/29/2019,31142,R,-11
,01 56 39-010-00,01 56 39-010-00: Arborist Compliance Report - 05242019,Mortenson Construction,,5/28/2019,,6/11/2019,,6/11/2019,Approved as Noted,Approved as Noted,10/11/2021,6/11/2019,31152,R,-11
,01 56 39-011-00,01 56 39-011-00: Watering Schedule for Temp Watering,Mortenson Construction,,6/4/2019,,6/18/2019,,6/12/2019,Approved as Noted/Resubmit,Approved as Noted/Resubmit,10/11/2021,6/12/2019,31157,R,-11
,01 56 39-011-01,01 56 39-011-01 Watering Schedule for Temp Watering,Mortenson Construction,6/26/2019,6/17/2019,,7/1/2019,,6/27/2019,Approved,Approved,10/11/2021,6/27/2019,-8,R,-11
,01 56 39-012-00,01 56 39-012-00 Arborist Compliance Report - 06072019,Mortenson Construction,,6/18/2019,,7/2/2019,,6/27/2019,Approved as Noted,Approved as Noted,10/11/2021,6/27/2019,31167,R,-11
,01 56 39-013-00,Wood Chip Mulch & Coir Mat,Mortenson Construction,,6/28/2019,,7/15/2019,,7/8/2019,Approved as Noted,Approved as Noted,10/11/2021,7/8/2019,31175,R,-12
,01 56 39-014-00,01 56 39-014-00 Arborist Compliance Report - 06212019,Mortenson Construction,,6/26/2019,,7/9/2019,,6/27/2019,Approved as Noted,Approved as Noted,10/11/2021,6/27/2019,31173,R,-10
,01 56 39-015-00,01 56 39-015-00 Arborist Compliance Report - 07052019,Mortenson Construction,,7/10/2019,,7/24/2019,,7/24/2019,Approved as Noted,Approved as Noted,10/11/2021,7/24/2019,31183,R,-11
,01 56 39-016-00,01 56 39-016-00 Arborist Compliance Report - 07192019,Mortenson Construction,,7/22/2019,,8/5/2019,,8/2/2019,Approved as Noted,Approved as Noted,10/11/2021,8/2/2019,31191,R,-11
,01 56 39-017-00,01 56 39-017-00 Arborist Compliance Report - 08022019,Mortenson Construction,,8/12/2019,,8/26/2019,,8/27/2019,Approved as Noted,Approved as Noted,10/11/2021,8/27/2019,31206,R,-11
,01 56 39-018-00,01 56 39-018-00 Arborist Compliance Report - 08162019,Mortenson Construction,,8/20/2019,,9/3/2019,,8/26/2019,Approved as Noted,Approved as Noted,10/11/2021,8/26/2019,31212,R,-11
,01 56 39-019-00,01 56 39-019-00 Arborist Compliance Report - 08302019,Mortenson Construction,,9/4/2019,,9/18/2019,,9/11/2019,Approved as Noted,Approved as Noted,10/11/2021,9/11/2019,31223,R,-11
,01 56 39-020-00,01 56 39-020-00 Arborist Compliance Report - 09132019,Mortenson Construction,,9/17/2019,,10/1/2019,,9/30/2019,Approved as Noted,Approved as Noted,10/11/2021,9/30/2019,31232,R,-11
,01 56 39-021-00,01 56 39-021-00 Arborist Compliance Report - 09272019,Mortenson Construction,,10/4/2019,,10/18/2019,,10/15/2019,Approved as Noted,Approved as Noted,10/11/2021,10/15/2019,31245,R,-11
,01 56 39-023-00,01 56 39-023-00 Arborist Compliance Report - 10112019,Mortenson Construction,,10/15/2019,,10/29/2019,,10/16/2019,Approved as Noted,Approved as Noted,10/11/2021,10/16/2019,31252,R,-11
,01 56 39-024-00,01 56 39-024-00 Arborist Compliance Report - 10252019,Mortenson Construction,,10/28/2019,,11/11/2019,,11/12/2019,Approved as Noted,Approved as Noted,10/11/2021,11/12/2019,31261,R,-11
,01 56 39-025-00,01 56 39-025-00 Tree Protection Plan (Updated Revision),Mortenson Construction,,10/29/2019,,11/12/2019,,11/6/2019,Revise and Resubmit,Revise and Resubmit,10/11/2021,11/6/2019,31262,R,-11
,01 56 39-025-01,01 56 39-025-01 Tree Protection Plan (Updated Revision),Mortenson Construction,,11/12/2019,,11/26/2019,,11/26/2019,Approved,Approved,10/11/2021,11/26/2019,31272,R,-11
,01 56 39-025-02,01 56 39-025-02 Tree Protection Plan (01/08/2021 - Updated Revision),Mortenson Construction,,1/20/2021,,2/3/2021,,1/20/2021,Approved as Noted,Approved as Noted,10/11/2021,1/20/2021,31583,R,-11
,01 56 39-026-00,01 56 39-026-00 Photo Documentation & Updated Condition Ratings and Appraisal Values,Mortenson Construction,,10/29/2019,,11/12/2019,,11/6/2019,Approved,Approved,10/11/2021,11/6/2019,31262,R,-11
,01 56 39-027-00,01 56 39-027-00 Mycorrhizae Fungal Inoculant and Cambistat Product Labels,Mortenson Construction,,10/29/2019,,11/12/2019,,11/12/2019,Revise and Resubmit,Revise and Resubmit,10/11/2021,11/12/2019,31262,R,-11
,01 56 39-027-01,01 56 39-027-01 Mycorrhizae Fungal Inoculant and Cambistat Product Labels,Mortenson Construction,,11/21/2019,,12/9/2019,,12/12/2019,Approved,Approved,10/11/2021,12/12/2019,31279,R,-13
,01 56 39-028-00,01 56 39-028-00 Arborist Compliance Report - 11082019,Mortenson Construction,,11/11/2019,,11/25/2019,,11/18/2019,Approved as Noted/Resubmit,Approved as Noted/Resubmit,10/11/2021,11/18/2019,31271,R,-11
,01 56 39-029-00,01 56 39-029-00 Arborist Compliance Report - 11222019,Mortenson Construction,,11/25/2019,,12/11/2019,,12/2/2019,Approved,Approved,10/11/2021,12/2/2019,31281,R,-13
,01 56 39-030-00,01 56 39-030-00: Arborist Compliance Report - 12062019,Mortenson Construction,,12/10/2019,,1/2/2020,,12/17/2019,Approved as Noted,Approved as Noted,10/11/2021,12/17/2019,31292,R,-18
,01 56 39-031-00,01 56 39-031-00 Arborist Compliance Report - 01032020,Mortenson Construction,,1/14/2020,,1/28/2020,,1/20/2020,Approved as Noted,Approved as Noted,10/11/2021,1/20/2020,31317,R,-11
,01 56 39-032-00,01 56 39-032-00 Arborist Compliance Report - 01172020,Mortenson Construction,,1/17/2020,,1/31/2020,,1/20/2020,Approved as Noted,Approved as Noted,10/11/2021,1/20/2020,31320,R,-11
,01 56 39-033-00,01 56 39-033-00 Arborist Compliance Report - 01312020,Mortenson Construction,,2/6/2020,,2/20/2020,,2/11/2020,Approved as Noted,Approved as Noted,10/11/2021,2/11/2020,31334,R,-11
,01 56 39-034-00,01 56 39-034-00 Arborist Compliance Report - 02142020,Mortenson Construction,,2/21/2020,,3/6/2020,,3/2/2020,Approved as Noted,Approved as Noted,10/11/2021,3/2/2020,31345,R,-11
,01 56 39-035-00,01 56 39-035-00 Arborist Compliance Report - 03022020,Mortenson Construction,,3/3/2020,,3/17/2020,,3/18/2020,Approved as Noted,Approved as Noted,10/11/2021,3/18/2020,31352,R,-11
,01 56 39-036-00,01 56 39-036-00 Arborist Compliance Report - 03132020,Mortenson Construction,,3/16/2020,,3/30/2020,,3/26/2020,Approved as Noted,Approved as Noted,10/11/2021,3/26/2020,31361,R,-11
,01 56 39-037-00,01 56 39-037-00 Arborist Compliance Report - 03272020,Mortenson Construction,,3/31/2020,,4/14/2020,,4/16/2020,Approved,Approved,10/11/2021,4/16/2020,31372,R,-11
,01 56 39-038-00,01 56 39-038-00 Arborist Compliance Report - 04102020,Mortenson Construction,,4/16/2020,,4/30/2020,,4/17/2020,Approved as Noted,Approved as Noted,10/11/2021,4/17/2020,31384,R,-11
,01 56 39-039-00,01 56 39-039-00 Arborist Compliance Report - 04242020,Mortenson Construction,,5/15/2020,,6/1/2020,,5/28/2020,Approved,Approved,10/11/2021,5/28/2020,31405,R,-12
,01 56 39-040-00,01 56 39-040-00 Arborist Compliance Report - 05082020,Mortenson Construction,,5/11/2020,,5/26/2020,,5/28/2020,Approved,Approved,10/11/2021,5/28/2020,31401,R,-12
,01 56 39-041-00,01 56 39-041-00 Arborist Compliance Report - 05222020,Mortenson Construction,,5/26/2020,,6/9/2020,,5/28/2020,Approved,Approved,10/11/2021,5/28/2020,31412,R,-11
,01 56 39-042-00,01 56 39-042-00 Arborist Compliance Report - 06052020,Mortenson Construction,,6/8/2020,,6/22/2020,,6/25/2020,Approved,Approved,10/11/2021,6/25/2020,31421,R,-11
,01 56 39-043-00,01 56 39-043-00 Arborist Compliance Report - 06192020,Mortenson Construction,,6/29/2020,,7/14/2020,,7/14/2020,Approved as Noted/Resubmit,Approved as Noted/Resubmit,10/11/2021,7/14/2020,31436,R,-12
,01 56 39-044-00,01 56 39-044-00 Arborist Compliance Report - 07032020,Mortenson Construction,,7/6/2020,,7/20/2020,,7/13/2020,Approved,Approved,10/11/2021,7/13/2020,31441,R,-11
,01 56 39-045-00,01 56 39-045-00 Arborist Compliance Report - 07172020,Mortenson Construction,,7/23/2020,,8/6/2020,,7/27/2020,Approved,Approved,10/11/2021,7/27/2020,31454,R,-11
,01 56 39-046-00,01 56 39-046-00 Arborist Compliance Report - 07312020,Mortenson Construction,,8/3/2020,,8/17/2020,,8/18/2020,Approved,Approved,10/11/2021,8/18/2020,31461,R,-11
,01 56 39-047-00,01 56 39-047-00 Arborist Compliance Report - 08142020,Mortenson Construction,,8/26/2020,,9/9/2020,,8/26/2020,Approved as Noted,Approved as Noted,10/11/2021,8/26/2020,31478,R,-11
,01 56 39-048-00,01 56 39-048-00 Arborist Compliance Report - 08282020,Mortenson Construction,,8/31/2020,,9/15/2020,,9/2/2020,Approved,Approved,10/11/2021,9/2/2020,31481,R,-12
,01 56 39-049-00,01 56 39-049-00 Arborist Compliance Report - 09112020,Mortenson Construction,,9/14/2020,,9/28/2020,,9/22/2020,Approved as Noted,Approved as Noted,10/11/2021,9/22/2020,31491,R,-11
,01 56 39-050-00,01 56 39-050-00 Arborist Compliance Report - 09252020,Mortenson Construction,,9/25/2020,,10/9/2020,,9/30/2020,Approved as Noted,Approved as Noted,10/11/2021,9/30/2020,31500,R,-11
,01 56 39-051-00,01 56 39-051-00 Arborist Compliance Report - 10082020,Mortenson Construction,,10/9/2020,,10/23/2020,,10/22/2020,Approved as Noted,Approved as Noted,10/11/2021,10/22/2020,31510,R,-11
,01 56 39-053-00,01 56 39-053-00 Arborist Compliance Report - 10232020,Mortenson Construction,,10/26/2020,,11/9/2020,,10/30/2020,Approved as Noted,Approved as Noted,10/11/2021,10/30/2020,31521,R,-11
,01 56 39-054-00,01 56 39-054-00 Arborist Compliance Report - 11062020,Mortenson Construction,,11/9/2020,,11/23/2020,,11/13/2020,Approved as Noted,Approved as Noted,10/11/2021,11/13/2020,31531,R,-11
,01 56 39-055-00,01 56 39-055-00 Arborist Compliance Report - 11202020,Mortenson Construction,,12/7/2020,,12/21/2020,,12/8/2020,No Action Taken or Required,No Action Taken or Required,10/11/2021,12/8/2020,31551,R,-11
,01 56 39-056-00,01 56 39-056-00 Arborist Compliance Report - 12042020,Mortenson Construction,,12/7/2020,,12/21/2020,,12/7/2020,Approved as Noted,Approved as Noted,10/11/2021,12/7/2020,31551,R,-11
,01 56 39-057-00,01 56 39-057-00 Arborist Compliance Report - 12182020,Mortenson Construction,,12/18/2020,,1/13/2021,,1/6/2021,Approved as Noted,Approved as Noted,10/11/2021,1/6/2021,31560,R,-19
,01 56 39-058-00,01 56 39-058-00 Arborist Compliance Report - 12312020,Mortenson Construction,,1/19/2021,,2/2/2021,,1/19/2021,Approved as Noted,Approved as Noted,10/11/2021,1/19/2021,31582,R,-11
,01 56 39-059-00,01 56 39-059-00 Arborist Compliance Report - 01292020,Mortenson Construction,,2/1/2021,,2/15/2021,,2/9/2021,Approved as Noted,Approved as Noted,10/11/2021,2/9/2021,31591,R,-11
,01 56 39-060-00,01 56 39-060-00 Arborist Compliance Report - 01152021,Mortenson Construction,,2/8/2021,,2/22/2021,,2/15/2021,No Action Taken or Required,No Action Taken or Required,10/11/2021,2/15/2021,31596,R,-11
,01 56 39-061-00,01 56 39-061-00 Arborist Compliance Report - 02122020,Mortenson Construction,,2/26/2021,,3/12/2021,,3/2/2021,Approved as Noted,Approved as Noted,10/11/2021,3/2/2021,31610,R,-11
,01 56 39-062-00,01 56 39-062-00 Arborist Compliance Report - 02262020,Mortenson Construction,,3/15/2021,,3/29/2021,,3/22/2021,No Action Taken or Required,No Action Taken or Required,10/11/2021,3/22/2021,31621,R,-11
,01 56 39-063-00,01 56 39-063-00 Arborist Compliance Report - 03122020,Mortenson Construction,,3/12/2021,,3/26/2021,,3/22/2021,Approved as Noted,Approved as Noted,10/11/2021,3/22/2021,31620,R,-11
,01 56 39-064-00,01 56 39-064-00 Arborist Compliance Report - 03262020,Mortenson Construction,,4/9/2021,,4/23/2021,,4/26/2021,No Action Taken or Required,No Action Taken or Required,10/11/2021,4/26/2021,31640,R,-11
,01 56 39-065-00,01 56 39-065-00 Arborist Compliance Report - 04092021,Mortenson Construction,,4/12/2021,,4/26/2021,,4/26/2021,Approved as Noted,Approved as Noted,10/11/2021,4/26/2021,31641,R,-11
,01 56 39-066-00,01 56 39-066-00 Arborist Compliance Report - 04262021,Mortenson Construction,,4/27/2021,,5/11/2021,,5/6/2021,Approved as Noted,Approved as Noted,10/11/2021,5/6/2021,31652,R,-11
,01 56 39-067-00,01 56 39-067-00 Arborist Compliance Report - 05102021,Mortenson Construction,,5/12/2021,,5/26/2021,,6/1/2021,Approved as Noted,Approved as Noted,10/11/2021,6/1/2021,31663,R,-11
,01 56 39-068-00,01 56 39-068-00 Arborist Compliance Report - 05242021,Mortenson Construction,,6/1/2021,,6/15/2021,,6/15/2021,Approved,Approved,10/11/2021,6/15/2021,31677,R,-11
,01 56 39-069-00,01 56 39-069-00 Arborist Compliance Report - 06072021,Mortenson Construction,,6/8/2021,,6/22/2021,,6/15/2021,Approved as Noted,Approved as Noted,10/11/2021,6/15/2021,31682,R,-11
,01 56 39-070-00,01 56 39-070-00 Arborist Compliance Report - 06182021,Mortenson Construction,,6/21/2021,,7/6/2021,,7/8/2021,Approved,Approved,10/11/2021,7/8/2021,31691,R,-12
,01 56 39-071-00,01 56 39-071-00 Arborist Compliance Report -07022021,Mortenson Construction,,7/6/2021,,7/20/2021,,7/8/2021,Approved as Noted,Approved as Noted,10/11/2021,7/8/2021,31702,R,-11
,01 56 39-072-00,01 56 39-072-00 Arborist Compliance Report -07162021,Mortenson Construction,,7/19/2021,,8/2/2021,,8/2/2021,Approved as Noted,Approved as Noted,10/11/2021,8/2/2021,31711,R,-11
,01 56 39-073-00,01 56 39-073-00 Arborist Compliance Report -07302021,Mortenson Construction,,8/2/2021,,8/16/2021,,8/26/2021,Approved as Noted,Approved as Noted,10/11/2021,8/26/2021,31721,R,-11
,01 56 39-074-00,01 56 39-074-00 Arborist Compliance Report -08132021,Mortenson Construction,,8/16/2021,,8/30/2021,,8/26/2021,Approved as Noted,Approved as Noted,10/11/2021,8/26/2021,31731,R,-11
,01 56 39-075-00,01 56 39-075-00 Arborist Compliance Report -08272021,Mortenson Construction,,9/1/2021,,9/15/2021,,9/22/2021,Approved as Noted,Approved as Noted,10/11/2021,9/22/2021,31743,R,-11
,01 77 00-010-00,01 77 00-010-00 Millwork / Countertop Draft Warranties,Mortenson Construction,,8/25/2021,,9/8/2021,,9/10/2021,Approved as Noted,Approved as Noted,10/11/2021,9/10/2021,31738,R,-11
,02 41 19-001-00,02 41 19-001-00 Selective Demo Schedule,Mortenson Construction,,3/7/2019,,3/21/2019,,3/14/2019,Approved as Noted/Resubmit,Approved as Noted/Resubmit,10/11/2021,3/14/2019,31094,R,-11
,02 41 19-002-00,02 41 19-002-00 Proposed Protection Measures,Mortenson Construction,,3/13/2019,,3/27/2019,,3/14/2019,No Action Taken or Required,No Action Taken or Required,10/11/2021,3/14/2019,31098,R,-11
,02 41 19-003-00,02 41 19-003-00 Engineering Survey,Mortenson Construction,,3/13/2019,,3/27/2019,,3/14/2019,No Action Taken or Required,No Action Taken or Required,10/11/2021,3/14/2019,31098,R,-11
,02 41 19-003-01,02 41 19-003-01: Engineering Survey (2),Mortenson Construction,,4/30/2019,,5/14/2019,,5/3/2019,No Action Taken or Required,No Action Taken or Required,10/11/2021,5/3/2019,31132,R,-11
,02 41 19-004-00,02 41 19-004-00 Hydro-Demo Extents for Y-Column and Buttress Foundations,Mortenson Construction,,8/6/2019,,8/20/2019,,8/22/2019,Revise and Resubmit,Revise and Resubmit,10/11/2021,8/22/2019,31202,R,-11
,02 41 19-004-01,02 41 19-004-01 Hydro-Demo Extents for Y-Column and Buttress Foundations,Mortenson Construction,,8/26/2019,,9/9/2019,,8/29/2019,Approved as Noted,Approved as Noted,10/11/2021,8/29/2019,31216,R,-11
,02 41 19-005-00,02 41 19-005-00 Hydro-Demo Extents for South Buttress,Mortenson Construction,,9/18/2019,,10/2/2019,,10/7/2019,Revise and Resubmit,Revise and Resubmit,10/11/2021,10/7/2019,31233,R,-11
,02 41 19-005-01,02 41 19-005-01 Hydro-Demo Extents for South Buttress,Mortenson Construction,,10/11/2019,,10/25/2019,,10/16/2019,Approved as Noted,Approved as Noted,10/11/2021,10/16/2019,31250,R,-11
,03 10 00-008-00,03 10 00-008-00 Y-Column and Chevron Extension Formwork Shops and Product Data,Mortenson Construction,,11/19/2019,,12/5/2019,,11/25/2019,Approved as Noted,Approved as Noted,10/11/2021,11/25/2019,31277,R,-13
,03 10 00-009-00,03 10 00-009-00 South Buttress Mat Foundation Formwork Shops and Product Data,Mortenson Construction,,12/3/2019,,12/17/2019,,12/4/2019,No Action Taken or Required,No Action Taken or Required,10/11/2021,12/4/2019,31287,R,-11
,03 10 00-010-00,03 10 00-010-00 Y-Column and Chevron Pile Cap Formwork Shops and Product Data,Mortenson Construction,,12/3/2019,,12/17/2019,,12/5/2019,Rejected,Rejected,10/11/2021,12/5/2019,31287,R,-11
,03 10 00-010-01,03 10 00-010-01 Y-Column and Chevron Pile Cap Formwork Shops and Product Data,Mortenson Construction,,1/2/2020,,1/16/2020,,1/8/2020,Approved,Approved,10/11/2021,1/8/2020,31309,R,-11
,03 10 00-011-00,03 10 00-011-00 Ice Slab Edge Formwork,Mortenson Construction,,11/17/2020,,12/3/2020,,12/2/2020,Approved,Approved,10/11/2021,12/2/2020,31537,R,-13
,03 20 00-001-00,03 20 00-001-00 South Parcel Detention Vault SD,Mortenson Construction,,5/8/2019,,5/22/2019,,5/23/2019,Approved as Noted,Approved as Noted,10/11/2021,5/23/2019,31138,R,-11
,03 20 00-002-00,03 20 00-002-00 Rebar Accessories Product Data,Mortenson Construction,,5/9/2019,,5/23/2019,,5/28/2019,Approved,Approved,10/11/2021,5/28/2019,31139,R,-11
,03 20 00-007-00,03 20 00-007-00 STABOX Product Data,Mortenson Construction,,5/10/2019,,5/24/2019,,5/28/2019,Approved as Noted,Approved as Noted,10/11/2021,5/28/2019,31140,R,-11
,03 20 00-007-01,03 20 00-007-01 CONCRETE REINFORCEMENT - STABOX Product Data,Mortenson Construction,,6/6/2019,,6/20/2019,,6/13/2019,Rejected,Rejected,10/11/2021,6/13/2019,31159,R,-11
,03 20 00-007-02,03 20 00-007-02 CONCRETE REINFORCEMENT - STABOX Product Data REV 2,Mortenson Construction,6/27/2019,6/20/2019,,7/4/2019,,6/21/2019,Approved,Approved,10/11/2021,6/21/2019,-6,R,-11
,03 20 00-009-00,03 20 00-009-00: Concrete Reinforcement - North Tunnel Cap,Mortenson Construction,,5/28/2019,,6/11/2019,,6/5/2019,Approved as Noted,Approved as Noted,10/11/2021,6/5/2019,31152,R,-11
,03 20 00-012-00,03 20 00-012-00: Foundation Shop Drawings - Area D,Mortenson Construction,,6/7/2019,,6/21/2019,,6/25/2019,Revise and Resubmit,Revise and Resubmit,10/11/2021,6/25/2019,31160,R,-11
,03 20 00-014-00,"03 20 00-014-00 Sectors D,C, and A Foundation Drawings",Mortenson Construction,,8/1/2019,,8/15/2019,,8/21/2019,Approved as Noted,Approved as Noted,10/11/2021,8/21/2019,31199,R,-11
,03 20 00-015-00,03 20 00-015-00 Switchgear Vault,Mortenson Construction,,8/1/2019,,8/15/2019,,8/13/2019,Approved as Noted,Approved as Noted,10/11/2021,8/13/2019,31199,R,-11
,03 20 00-017-00,03 20 00-017-00 Rebar Terminator Caps Product Data,Mortenson Construction,,8/15/2019,,8/29/2019,,8/20/2019,Approved,Approved,10/11/2021,8/20/2019,31209,R,-11
,03 20 00-018-00,03 20 00-018-00 Rebar Coupler Product Data,Mortenson Construction,,8/16/2019,,8/30/2019,,8/20/2019,Approved,Approved,10/11/2021,8/20/2019,31210,R,-11
,03 20 00-019-00,03 20 00-019-00 Shotcrete Wall Reinforcing,Mortenson Construction,,8/20/2019,,9/3/2019,,8/29/2019,Approved as Noted,Approved as Noted,10/11/2021,8/29/2019,31212,R,-11
,03 20 00-020-00,03 20 00-020-00 Formsaver Product Data,Mortenson Construction,,8/26/2019,,9/10/2019,,9/5/2019,Approved,Approved,10/11/2021,9/5/2019,31216,R,-12
,03 20 00-021-00,03 20 00-021-00 Area B Foundations,Mortenson Construction,,8/26/2019,,9/10/2019,,9/5/2019,Approved as Noted,Approved as Noted,10/11/2021,9/5/2019,31216,R,-12
,03 20 00-022-00,03 20 00-022-00 Loading Dock Foundations,Mortenson Construction,,9/13/2019,,9/27/2019,,9/26/2019,Approved as Noted,Approved as Noted,10/11/2021,9/26/2019,31230,R,-11
,03 20 00-024-00,03 20 00-024-00 South Buttress Mat Foundation,Mortenson Construction,,9/19/2019,,10/3/2019,,10/2/2019,Approved as Noted,Approved as Noted,10/11/2021,10/2/2019,31234,R,-11
,03 20 00-025-00,03 20 00-025-00 Shotcrete Wall Reinforcing Areas B and A,Mortenson Construction,,10/2/2019,,10/16/2019,,11/6/2019,Approved as Noted,Approved as Noted,10/11/2021,11/6/2019,31243,R,-11
,03 20 00-026-00,03 20 00-026-00 Garage Foundations and Shear Walls,Mortenson Construction,,10/4/2019,,10/18/2019,,10/21/2019,Approved as Noted,Approved as Noted,10/11/2021,10/21/2019,31245,R,-11
,03 20 00-027-00,03 20 00-027-00 Headed Stud Product Data,Mortenson Construction,,10/10/2019,,10/24/2019,,10/10/2019,Approved,Approved,10/11/2021,10/10/2019,31249,R,-11
,03 20 00-028-00,03 20 00-028-00 Headed Stud Welding Procedure,Mortenson Construction,,10/16/2019,,10/30/2019,,10/16/2019,No Action Taken or Required,No Action Taken or Required,10/11/2021,10/16/2019,31253,R,-11
,03 20 00-029-00,03 20 00-029-00 Tower Crane Foundation Reinforcement,Mortenson Construction,,10/24/2019,,11/7/2019,,11/6/2019,Approved as Noted,Approved as Noted,10/11/2021,11/6/2019,31259,R,-11
,03 20 00-030-00,03 20 00-030-00 Y-Column / Chevron Extensions Area D,Mortenson Construction,,10/29/2019,,11/12/2019,,11/6/2019,Approved as Noted,Approved as Noted,10/11/2021,11/6/2019,31262,R,-11
,03 20 00-031-00,03 20 00-031-00 Y-Column / Chevron Extension Area C,Mortenson Construction,,10/30/2019,,11/13/2019,,11/6/2019,Approved as Noted,Approved as Noted,10/11/2021,11/6/2019,31263,R,-11
,03 20 00-032-00,03 20 00-032-00 Y Column / Chevron Extension Area A and B,Mortenson Construction,,11/12/2019,,11/26/2019,,11/22/2019,Approved as Noted,Approved as Noted,10/11/2021,11/22/2019,31272,R,-11
,03 20 00-034-00,03 20 00-034-00 Y Column / Chevron Pile Cap,Mortenson Construction,,11/19/2019,,12/3/2019,,11/20/2019,Approved as Noted,Approved as Noted,10/11/2021,11/20/2019,31277,R,-11
,03 20 00-035-00,03 20 00-035-00 Chevron Knuckles,Mortenson Construction,,11/19/2019,,12/5/2019,,12/17/2019,Approved as Noted,Approved as Noted,10/11/2021,12/17/2019,31277,R,-13
,03 20 00-036-00,03 20 00-036-00: NE Snorkel,Mortenson Construction,,12/10/2019,,1/2/2020,,1/3/2020,Approved as Noted,Approved as Noted,10/11/2021,1/3/2020,31292,R,-18
